efficiency,avg_bedtime,avg_actual_sleeptime,quality,weekday_midnight,weekend_midnight,disorder,motivation,ontime_bed,outside_noise,inside_noise,light,temperature,mattress,health,sm_quality
0.6059701492537314,11.964285714285714,7.25,4,1,1,0,3,4,2,1,1,3,1,3,1
0.8888888888888888,9.0,8.0,4,1,1,0,4,3,3,2,2,3,2,2,1
0.9572649572649572,8.357142857142858,8.0,4,1,1,0,5,5,1,1,1,2,1,2,1
0.8928571428571429,8.0,7.142857142857143,2,1,0,0,4,3,1,1,2,2,1,2,3
1.0,7.5,7.5,4,1,1,0,3,3,1,1,1,1,1,1,1
0.8080808080808082,7.071428571428571,5.714285714285714,5,1,0,0,5,4,1,1,1,1,1,1,1
0.7272727272727273,11.0,8.0,3,1,1,0,4,3,1,1,1,2,4,3,2
0.7860696517412935,7.178571428571429,5.642857142857143,3,1,1,0,4,4,1,1,1,2,1,1,2
0.9218106995884774,8.678571428571429,8.0,4,1,1,1,4,4,1,1,1,1,1,2,1
0.8888888888888888,9.0,8.0,3,1,1,0,3,3,2,3,3,3,2,2,2
0.8421052631578947,9.5,8.0,4,1,1,0,4,4,1,1,1,2,1,1,1
0.7435897435897436,8.357142857142858,6.214285714285714,2,1,1,0,4,3,1,1,1,3,1,3,3
0.9565217391304347,7.392857142857143,7.071428571428571,4,1,1,0,4,4,2,3,1,2,2,2,1
0.73224043715847,6.535714285714286,4.785714285714286,3,1,0,1,4,4,1,1,1,1,1,4,2
0.7386759581881532,10.25,7.571428571428571,3,1,1,0,4,4,2,4,4,2,1,2,2
0.8461538461538461,7.428571428571429,6.285714285714286,3,1,1,0,3,4,1,1,1,1,3,2,2
0.896,8.928571428571429,8.0,4,1,1,0,4,4,1,2,2,2,1,2,1
1.0,5.714285714285714,5.857142857142857,3,0,0,0,2,2,1,2,1,2,1,3,2
1.0,4.571428571428571,4.571428571428571,3,0,0,0,3,3,5,3,2,4,3,4,2
0.8644067796610169,8.428571428571429,7.285714285714286,4,1,1,0,4,4,1,3,2,4,2,3,1
0.939655172413793,8.285714285714286,7.785714285714286,3,0,0,0,3,3,2,2,3,3,2,3,2
0.7859649122807018,10.178571428571429,8.0,3,1,1,0,4,4,1,1,1,3,1,2,2
0.3918918918918919,15.857142857142858,6.214285714285714,4,1,0,0,4,4,2,3,2,2,1,1,1
0.937984496124031,9.214285714285714,8.642857142857142,5,1,1,0,4,3,2,2,2,2,1,1,1
0.9790794979079498,8.535714285714286,8.357142857142858,5,1,1,0,5,5,1,1,2,2,1,1,1
0.7717842323651453,8.607142857142858,6.642857142857143,4,1,1,0,4,3,1,1,1,2,1,1,1
0.7027027027027027,9.25,6.5,3,1,1,0,2,2,1,1,1,1,1,1,2
0.875,8.0,7.0,4,1,1,0,4,4,2,1,3,3,1,3,1
0.7692307692307693,13.0,10.0,2,0,0,1,2,2,1,3,1,3,1,3,3
1.0,8.0,8.0,4,1,1,0,2,2,2,2,2,2,2,1,1
1.0,9.357142857142858,9.857142857142858,4,1,1,0,2,3,1,3,2,3,1,2,1
0.98989898989899,7.071428571428571,7.0,5,0,0,0,5,5,2,2,1,1,1,1,1
0.8691588785046729,7.642857142857143,6.642857142857143,4,1,1,0,4,3,2,2,1,2,4,2,1
0.9142857142857143,8.75,8.0,5,1,1,0,5,5,1,1,1,2,1,2,1
0.937984496124031,9.214285714285714,8.642857142857142,4,1,1,0,4,5,1,3,2,1,1,1,1
0.96875,8.0,7.75,4,1,0,0,4,4,2,2,2,2,1,1,1
0.8099173553719009,8.642857142857142,7.0,4,1,1,0,4,4,2,2,2,2,2,2,1
0.9411764705882353,8.5,8.0,1,1,1,0,3,2,2,2,2,3,2,3,3
0.835820895522388,7.178571428571429,6.0,3,1,0,0,2,3,1,3,3,4,2,2,2
0.8571428571428571,7.0,6.0,3,1,1,0,3,4,3,4,2,3,1,2,2
0.8823529411764706,8.5,7.5,4,1,1,0,4,4,1,3,1,1,1,3,1
0.8782608695652175,8.214285714285714,7.214285714285714,4,1,1,0,3,5,2,1,1,2,3,1,1
1.0,7.0,7.0,4,1,1,0,3,4,2,2,1,2,1,2,1
0.9032258064516129,8.857142857142858,8.0,3,1,1,0,3,3,1,2,2,2,2,2,2
0.9081632653061223,7.0,6.357142857142857,4,1,1,0,2,1,1,1,1,1,1,1,1
0.9108910891089108,7.214285714285714,6.571428571428571,3,0,0,0,2,2,2,2,2,2,1,3,2
0.8888888888888888,9.0,8.0,4,1,1,0,3,3,3,2,2,3,2,2,1
1.0,8.107142857142858,8.107142857142858,4,1,1,0,3,3,1,2,1,1,2,2,1
0.7899159663865546,8.5,6.714285714285714,5,1,1,0,4,5,2,2,2,2,2,2,1
0.9333333333333333,7.5,7.0,3,1,1,0,1,2,1,1,1,1,5,1,2
0.9298245614035088,8.142857142857142,7.571428571428571,4,1,1,0,5,5,3,1,1,1,1,2,1
0.6363636363636364,11.0,7.0,2,1,1,0,4,4,3,2,1,3,1,2,3
1.0,7.642857142857143,7.714285714285714,4,1,0,0,3,4,1,1,1,2,1,2,1
0.8571428571428571,7.0,6.0,4,1,0,0,4,3,2,2,2,2,2,2,1
0.9054726368159204,7.178571428571429,6.5,5,1,0,0,3,3,2,2,2,2,2,3,1
0.9147982062780269,7.964285714285714,7.285714285714286,2,1,0,0,3,4,1,1,2,2,4,1,3
1.0,7.5,8.0,5,0,0,0,5,5,1,1,1,3,1,1,1
0.689655172413793,12.428571428571429,8.571428571428571,3,1,1,0,4,4,3,3,2,3,4,2,2
0.9411764705882353,8.5,8.0,5,1,1,0,4,4,2,2,1,1,1,2,1
0.875,8.0,7.0,3,0,0,0,3,2,2,1,2,3,1,3,2
1.0,5.5,5.571428571428571,3,0,0,0,3,2,3,1,1,3,3,3,2
0.8793103448275861,8.285714285714286,7.285714285714286,2,1,1,0,5,5,3,2,2,3,1,2,3
0.8888888888888888,7.392857142857143,6.571428571428571,4,0,0,0,2,3,2,2,2,3,3,1,1
0.8130081300813008,8.785714285714286,7.142857142857143,4,1,1,0,3,3,1,1,1,3,1,1,1
0.8205128205128204,8.357142857142858,6.857142857142857,4,1,1,0,3,2,1,2,1,3,3,1,1
0.9289099526066351,7.535714285714286,7.0,4,1,1,0,2,1,2,1,1,3,1,2,1
0.8888888888888888,9.0,8.0,4,1,1,0,4,4,3,3,3,3,3,2,1
0.6986301369863014,10.428571428571429,7.285714285714286,3,1,1,0,4,4,3,3,3,3,3,3,2
0.8888888888888888,9.0,8.0,3,1,1,0,4,4,1,5,2,2,1,1,2
0.98,7.142857142857143,7.0,3,1,1,0,3,3,3,2,3,2,3,3,2
0.8615384615384615,9.285714285714286,8.0,4,1,1,0,3,4,3,4,3,3,3,2,1
0.9107142857142857,8.0,7.285714285714286,5,1,1,0,4,5,3,2,1,2,4,2,1
0.9444444444444444,9.0,8.5,5,1,1,0,4,4,1,2,1,3,1,3,1
0.9615384615384616,6.5,6.25,4,0,0,0,3,3,2,3,3,3,2,3,1
1.0,8.25,9.178571428571429,4,1,1,0,3,3,3,3,2,2,2,2,1
1.0,6.5,7.0,3,1,1,0,3,3,1,3,3,4,2,4,2
0.9596774193548386,8.857142857142858,8.5,5,1,1,0,4,4,2,1,1,2,1,2,1
0.8087431693989071,6.535714285714286,5.285714285714286,3,1,1,1,3,3,1,1,1,2,2,3,2
0.9150943396226415,7.571428571428571,6.928571428571429,3,1,1,0,3,4,1,1,1,2,2,2,2
0.8529411764705883,7.285714285714286,6.214285714285714,2,1,1,1,3,4,2,1,1,3,1,3,3
0.7628865979381443,6.928571428571429,5.285714285714286,2,0,0,0,2,2,1,2,1,3,1,2,3
0.9158878504672897,7.642857142857143,7.0,4,1,1,0,2,4,1,1,1,2,1,1,1
0.8,12.5,10.0,4,1,1,0,4,3,3,1,1,4,1,3,1
0.8362068965517241,8.285714285714286,6.928571428571429,3,1,1,0,2,2,2,2,2,2,3,2,2
0.7479674796747967,8.785714285714286,6.571428571428571,3,1,1,0,5,5,2,3,1,3,1,1,2
0.875,8.0,7.0,4,0,0,0,4,3,1,1,1,1,1,3,1
0.5,6.0,3.0,1,1,1,1,5,4,1,1,1,4,3,2,3
0.7142857142857143,7.0,5.0,1,0,0,1,4,1,4,3,1,1,3,5,3
0.9450549450549451,6.5,6.142857142857143,4,0,0,0,4,4,1,1,1,3,1,2,1
0.6942148760330579,8.642857142857142,6.0,3,1,1,0,3,4,2,1,1,2,1,1,2
0.7695652173913043,8.214285714285714,6.321428571428571,3,1,1,0,3,2,3,4,3,2,3,2,2
1.0,7.357142857142857,7.5,4,1,1,0,5,5,1,1,2,3,1,1,1
1.0,7.392857142857143,7.75,4,1,1,0,3,3,3,4,3,2,2,2,1
1.0,7.285714285714286,7.571428571428571,3,0,0,0,2,2,1,3,1,2,1,2,2
0.9339207048458149,8.107142857142858,7.571428571428571,5,1,1,0,5,4,1,2,2,2,2,1,1
0.875,8.0,7.0,4,1,1,0,4,4,2,3,3,3,3,3,1
1.0,7.357142857142857,7.392857142857143,3,1,0,1,3,3,1,2,1,2,3,3,2
1.0,8.0,8.0,3,0,0,0,3,2,2,1,1,1,1,2,2
0.86,7.142857142857143,6.142857142857143,3,1,1,0,2,3,1,4,1,3,3,3,2
0.9008264462809917,8.642857142857142,7.785714285714286,4,1,0,0,3,4,2,2,2,2,1,1,1
0.8784313725490196,9.107142857142858,8.0,5,1,1,0,4,3,1,1,1,2,2,1,1
0.9651162790697674,6.142857142857143,5.928571428571429,3,0,0,1,4,2,1,1,2,2,1,3,2
0.7058823529411765,8.5,6.0,4,1,1,1,3,4,2,1,1,4,3,4,1
1.0,8.285714285714286,8.285714285714286,3,1,0,0,4,3,1,1,2,2,1,2,2
0.88212927756654,9.392857142857142,8.285714285714286,4,1,1,0,4,5,1,1,1,3,2,1,1
